zip,state,median_sqft,median_sqft_state,status_quo_electricity,status_quo_natgas,heatpump_electricity
11243,NY,1650,1650,1070,789,6170
13734,NY,1708,1650,382,1174,9336
17886,PA,1701,1645,864,972,7962
18635,PA,1670,1645,723,999,8195
18956,PA,1645,1645,980,876,7093
91410,CA,1632,1632,1870,381,3257
7002,NJ,1538,1706,1277,758,6159
10129,NY,1650,1650,1070,789,6170
95019,CA,1348,1632,227,612,3292
98505,WA,1782,1783,335,1006,6500
11230,NY,2067,1650,1208,905,7213
16641,PA,1532,1645,641,940,7657
19140,PA,1778,1645,1383,830,6827
89040,NV,1706,1790,4761,419,6446
90083,CA,1632,1632,324,375,1906
90224,CA,1632,1632,864,364,2301
92366,CA,1452,1632,4086,403,5639
97526,OR,1608,1676,263,1068,7439
99223,WA,2347,1783,942,1296,10623
17088,PA,1666,1645,1030,880,7166
91411,CA,1508,1632,1795,364,3107
94528,CA,4087,1632,1987,991,6899
7930,NJ,2962,1706,1368,1301,10390
89053,NV,2458,1790,5446,556,8091
90222,CA,1078,1632,463,275,1562
92316,CA,1376,1632,1868,362,3203
92329,CA,1632,1632,1963,393,3422
12194,NY,1490,1650,488,1058,8330
14035,NY,1650,1650,609,1011,8234
90262,CA,1194,1632,486,292,1655
91206,CA,1936,1632,1690,434,3366
94061,CA,1557,1632,132,598,2962
16502,PA,1476,1645,630,922,7505
92651,CA,2009,1632,1475,394,2936
17966,PA,1645,1645,1145,852,6981
10474,NY,1650,1650,1070,789,6170
12491,NY,1804,1650,916,1045,8584
15144,PA,1286,1645,735,783,6387
10087,NY,1650,1650,1070,789,6170
15926,PA,1731,1645,375,1100,8704
98392,WA,1392,1783,105,844,5011
7757,NJ,2204,1706,1064,1006,8102
10019,NY,1650,1650,1070,789,6170
11516,NY,2145,1650,1050,953,7408
89156,NV,1514,1790,4469,390,6004
16735,PA,1550,1645,316,1151,9181
95313,CA,1444,1632,1938,476,4039
95558,CA,1234,1632,10,741,3965
96058,CA,1632,1632,1132,940,7462
15057,PA,2178,1645,979,1100,8869
15466,PA,1645,1645,833,908,7453
15744,PA,1645,1645,423,1094,8704
17881,PA,1333,1645,762,840,6754
91106,CA,2085,1632,1154,399,2661
94232,CA,1632,1632,1510,572,4194
12465,NY,1434,1650,732,933,7696
13753,NY,1650,1650,489,1141,9046
15476,PA,1645,1645,921,850,6968
92264,CA,2230,1632,7099,256,7213
99016,WA,2251,1783,921,1263,10348
14469,NY,1772,1650,666,1106,8969
19108,PA,1645,1645,1405,758,6195
90806,CA,1282,1632,764,315,1998
8340,NJ,1859,1706,1215,880,7175
13865,NY,1551,1650,363,1108,8884
17765,PA,1709,1645,660,1124,8980
10138,NY,1650,1650,1070,789,6170
17876,PA,1432,1645,790,877,7081
89505,NV,1790,1790,1406,922,7864
7031,NJ,1428,1706,1087,762,6083
12927,NY,1218,1650,454,1038,8258
16423,PA,1478,1645,631,923,7512
18928,PA,1645,1645,980,876,7093
98624,WA,1782,1783,46,944,5357
18623,PA,1754,1645,741,1029,8422
92103,CA,1710,1632,401,347,1825
95682,CA,2043,1632,1984,661,5159
14709,NY,1650,1650,348,1158,9186
19383,PA,1645,1645,1002,879,7147
94230,CA,1632,1632,1510,572,4194
14804,NY,1650,1650,348,1158,9186
92382,CA,1203,1632,1745,412,3523
7933,NJ,2014,1706,1197,991,8244
11226,NY,2613,1650,1379,1046,8555
18913,PA,1692,1645,995,891,7231
89833,NV,1790,1790,1104,1232,10256
15460,PA,1645,1645,921,850,6968
18252,PA,1672,1645,723,1000,8201
18455,PA,1645,1645,488,1138,9027
7505,NJ,1706,1706,1094,896,7327
93276,CA,800,1632,2044,284,3057
11716,NY,1784,1650,819,910,7021
12232,NY,1650,1650,439,1158,9105
19196,PA,1645,1645,1405,758,6195
97041,OR,1764,1676,573,847,5376
98674,WA,1980,1783,342,1005,6328
14126,NY,1404,1650,603,969,8037
10165,NY,1650,1650,1070,789,6170
15417,PA,1366,1645,619,876,7148
10510,NY,2707,1650,984,1249,9909
10702,NY,1650,1650,1070,789,6170
12750,NY,1650,1650,489,1141,9046
91962,CA,1811,1632,813,426,2577
95071,CA,3722,1632,1035,917,5493
95319,CA,1632,1632,2066,513,4349
92142,CA,1887,1632,831,437,2643
94144,CA,1632,1632,135,615,3047
98826,WA,1802,1783,1016,1027,8428
97622,OR,1297,1676,555,1069,8902
10523,NY,1664,1650,752,926,7292
98648,WA,1996,1783,612,913,5830
17043,PA,1585,1645,1191,815,6671
94621,CA,1077,1632,135,472,2394
95013,CA,1632,1632,250,687,3696
13207,NY,1366,1650,639,952,7916
92105,CA,1070,1632,317,263,1389
92358,CA,1227,1632,1696,331,2895
93042,CA,1632,1632,870,492,3007
19550,PA,1633,1645,1121,857,7046
15761,PA,1645,1645,731,962,7781
7068,NJ,2072,1706,1216,1008,8417
10509,NY,2004,1650,784,1111,8909
12955,NY,1226,1650,392,1002,8118
13340,NY,1555,1650,557,1097,8694
91803,CA,1388,1632,1418,355,2753
93607,CA,1632,1632,2622,507,4880
94506,CA,3009,1632,1587,897,6162
7028,NJ,2094,1706,1223,1015,8484
92088,CA,1632,1632,876,469,3054
14846,NY,1298,1650,679,887,7362
17573,PA,1645,1645,1023,873,7104
89022,NV,1790,1790,1432,984,8895
91786,CA,1610,1632,1948,389,3393
12515,NY,2301,1650,1047,1213,9755
11222,NY,1854,1650,1139,847,6679
11733,NY,2281,1650,938,1058,8392
17540,PA,2002,1645,1136,984,8164
91496,CA,1632,1632,1870,381,3257
93449,CA,1818,1632,528,648,3666
95139,CA,1616,1632,643,546,3184
95841,CA,1460,1632,1659,539,4186
8103,NJ,1475,1706,1328,710,5766
18976,PA,2337,1645,1187,1086,9034
97378,OR,1419,1676,541,785,5037
16508,PA,1318,1645,595,862,6961
92254,CA,1338,1632,5078,261,5478
98901,WA,1729,1783,1080,1016,8399
7676,NJ,1908,1706,1162,959,7926
13450,NY,1135,1650,582,853,7215
94025,CA,1900,1632,321,641,3392
12570,NY,2676,1650,1141,1333,10614
14620,NY,1490,1650,608,996,8252
11004,NY,1409,1650,840,739,5565
14610,NY,1647,1650,640,1058,8644
90710,CA,1639,1632,1013,345,2297
94305,CA,2575,1632,831,727,4268
97355,OR,1408,1676,534,765,4902
91182,CA,1632,1632,1011,344,2291
92004,CA,1632,1632,5632,294,6312
93250,CA,1281,1632,2562,374,3946
94035,CA,1632,1632,646,549,3203
16362,PA,1450,1645,440,1005,8236
13692,NY,1456,1650,464,1080,8297
90507,CA,1632,1632,569,352,1986
16258,PA,1645,1645,423,1094,8704
97021,OR,2138,1676,1286,974,7464
7009,NJ,1854,1706,1144,942,7765
19081,PA,1946,1645,1537,839,6949
90623,CA,2057,1632,978,419,2650
94538,CA,1382,1632,593,497,2900
7869,NJ,2396,1706,1319,1103,9189
91023,CA,1632,1632,1542,391,3030
12123,NY,1512,1650,420,1099,8851
8512,NJ,2334,1706,1360,1020,8532
11797,NY,3072,1650,1213,1233,9370
16111,PA,1320,1645,448,917,7567
95365,CA,1211,1632,1837,458,3908
97750,OR,1676,1676,765,1112,9050
15203,PA,1507,1645,796,861,7097
90294,CA,1632,1632,365,398,2069
93737,CA,1947,1632,3002,521,5166
98253,WA,1699,1783,12,968,5572
17703,PA,1645,1645,849,953,7779
98847,WA,1656,1783,971,976,7937
14754,NY,1650,1650,348,1158,9186
17246,PA,1784,1645,1254,862,7153
18321,PA,1723,1645,999,937,7686
91436,CA,2955,1632,2604,550,4815
94205,CA,1632,1632,1510,572,4194
98569,WA,1307,1783,47,799,4543
16882,PA,1851,1645,701,1053,8593
17720,PA,1645,1645,849,953,7779
18336,PA,1782,1645,811,1041,8520
7302,NJ,1613,1706,1058,779,6077
16334,PA,1645,1645,469,1085,8596
98845,WA,1844,1783,1028,1042,8570
14529,NY,1650,1650,768,1024,8404
19435,PA,1476,1645,947,823,6634
14863,NY,1650,1650,560,1122,9110
96155,CA,1402,1632,1236,796,6636
97443,OR,1648,1676,805,789,5212
19301,PA,1986,1645,1108,985,8167
91723,CA,1480,1632,1865,370,3227
10705,NY,1962,1650,1174,877,6949
15236,PA,1322,1645,745,796,6503
16223,PA,1645,1645,731,962,7781
17260,PA,1645,1645,665,982,8000
97404,OR,1546,1676,541,845,5472
7828,NJ,1792,1706,789,1021,8342
10167,NY,1650,1650,1070,789,6170
10962,NY,1979,1650,825,1029,8246
15905,PA,1568,1645,356,1037,8208
95568,CA,1632,1632,4,853,4421
95966,CA,1469,1632,2108,475,4128
97207,OR,1676,1676,541,810,5101
11375,NY,1750,1650,940,841,6421
95937,CA,1584,1632,1685,551,4243
90245,CA,1884,1632,350,409,2078
10470,NY,1738,1650,1100,814,6390
15340,PA,1580,1645,667,956,7740
15853,PA,1711,1645,432,1121,8852
95555,CA,1377,1632,10,791,4236
10018,NY,1650,1650,1070,789,6170
13166,NY,1709,1650,716,1089,8790
14129,NY,1560,1650,591,978,8000
92617,CA,1632,1632,757,347,2120
93453,CA,1522,1632,481,582,3292
94561,CA,1916,1632,1231,678,4558
95831,CA,1792,1632,1587,606,4444
12779,NY,1650,1650,489,1141,9046
13408,NY,1724,1650,720,1095,8850
15215,PA,1799,1645,873,958,7859
10998,NY,2272,1650,927,1207,9691
11715,NY,1719,1650,803,890,6843
15324,PA,1289,1645,601,846,6879
18503,PA,1645,1645,716,990,8142
15010,PA,1432,1645,738,917,7637
15376,PA,1678,1645,782,914,7451
92259,CA,896,1632,4166,206,4518
93227,CA,1632,1632,2194,530,4613
94160,CA,1632,1632,135,615,3047
95075,CA,2696,1632,544,891,5094
98148,WA,1782,1783,287,906,5473
99176,WA,2630,1783,803,1453,11125
7662,NJ,1488,1706,1110,781,6249
10985,NY,2322,1650,948,1251,10092
17604,PA,1645,1645,1023,873,7104
99012,WA,2194,1783,908,1243,10138
92054,CA,1643,1632,442,480,2741
92685,CA,1632,1632,864,364,2301
94147,CA,2002,1632,151,696,3451
98387,WA,1783,1783,317,973,6253
7416,NJ,1291,1706,687,857,6980
14110,NY,1650,1650,605,1056,8624
14854,NY,1650,1650,560,1122,9110
93940,CA,1690,1632,72,686,3416
94612,CA,1496,1632,159,574,2907
95133,CA,1730,1632,667,569,3318
14305,NY,1235,1650,566,898,7428
10501,NY,2501,1650,888,1273,9954
17202,PA,2011,1645,1338,927,7795
92842,CA,1632,1632,864,364,2301
17036,PA,2354,1645,1392,1060,9003
89705,NV,1450,1790,1258,812,6791
93266,CA,1200,1632,2240,422,4073
10055,NY,3746,1650,1712,1314,8890
11364,NY,1508,1650,870,769,5816
13066,NY,2035,1650,788,1211,9566
15427,PA,1315,1645,607,856,6970
94280,CA,1632,1632,1510,572,4194
14627,NY,1650,1650,641,1059,8655
18417,PA,1645,1645,488,1138,9027
89509,NV,1976,1790,1484,979,8477
93270,CA,1537,1632,2290,513,4625
7508,NJ,1676,1706,1084,886,7238
11499,NY,1650,1650,911,812,6172
15663,PA,1645,1645,833,908,7526
89028,NV,1838,1790,7297,269,7632
90037,CA,1372,1632,925,310,2070
8559,NJ,2219,1706,1153,1052,8775
18834,PA,1645,1645,375,1148,9094
89315,NV,1790,1790,881,1292,10025
92552,CA,1702,1632,2086,507,4336
93596,CA,1632,1632,2714,576,5755
97229,OR,2538,1676,676,1151,7758
12481,NY,1387,1650,799,892,7392
13054,NY,1562,1650,558,1100,8719
11368,NY,1447,1650,1000,729,5659
14822,NY,1650,1650,768,1024,8404
15059,PA,1525,1645,762,953,7894
19105,PA,1645,1645,1405,758,6195
94979,CA,1632,1632,508,688,4078
8647,NJ,1706,1706,1146,842,6796
12155,NY,1594,1650,690,1044,8506
13081,NY,1510,1650,535,1063,8731
17840,PA,1645,1645,849,953,7779
18254,PA,1615,1645,710,979,8016
14521,NY,1571,1650,602,1020,8282
15062,PA,1542,1645,805,873,7209
15848,PA,1645,1645,423,1094,8704
95828,CA,1466,1632,1427,537,3930
98438,WA,1782,1783,317,973,6251
7656,NJ,2036,1706,1204,997,8308
89103,NV,1695,1790,4723,392,6154
98304,WA,989,1783,236,685,4317
99040,WA,1782,1783,670,1184,9694
12903,NY,1618,1650,451,1183,9053
14860,NY,1368,1650,561,939,7734
92267,CA,1632,1632,6619,248,6837
12480,NY,1601,1650,860,972,8086
91189,CA,1632,1632,1011,344,2291
11730,NY,1685,1650,795,879,6751
13605,NY,1708,1650,504,1189,8933
14008,NY,1616,1650,648,1054,8613
16864,PA,1320,1645,589,859,6867
19137,PA,1362,1645,1205,707,5721
93252,CA,1330,1632,151,434,2144
17901,PA,1660,1645,1131,866,7126
95540,CA,1514,1632,11,837,4489
13112,NY,1641,1650,701,1063,8665
95991,CA,1710,1632,2038,565,4643
99173,WA,1536,1783,629,1143,9410
7061,NJ,1706,1706,1094,896,7328
18030,PA,1645,1645,717,990,8113
95570,CA,1632,1632,11,876,4702
8543,NJ,1614,1706,1113,814,6545
10309,NY,1754,1650,1368,821,6724
11978,NY,2448,1650,763,1189,9220
94302,CA,1632,1632,646,549,3203
98424,WA,1976,1783,335,1036,6703
11701,NY,1704,1650,871,856,6563
7874,NJ,1500,1706,719,917,7452
15346,PA,1645,1645,681,979,7951
90093,CA,1632,1632,1011,344,2291
93920,CA,2000,1632,79,760,3788
8603,NJ,1706,1706,1146,842,6796
10160,NY,1650,1650,1070,789,6170
10528,NY,3279,1650,1103,1410,9692
90301,CA,1089,1632,265,295,1504
7963,NJ,1706,1706,1094,896,7328
13471,NY,1455,1650,538,1054,8439
92616,CA,1632,1632,757,347,2120
98859,WA,1782,1783,1081,1098,9370
15283,PA,1645,1645,833,908,7453
89150,NV,1916,1790,5015,425,6638
92075,CA,2215,1632,371,496,2557
94240,CA,1632,1632,1510,572,4194
