Date/Time,File total (kW-hourly),Percent of Total Energy Usage
 01/01  01:00:00,111.53950813961892,8.069391276067854e-05
 01/01  02:00:00,98.88469961772012,7.153871715419483e-05
 01/01  03:00:00,95.19587302967807,6.887001387721665e-05
 01/01  04:00:00,95.16882025984711,6.885044239187405e-05
 01/01  05:00:00,96.31852453669778,6.968220270859194e-05
 01/01  06:00:00,104.16900775388511,7.536168093494311e-05
 01/01  07:00:00,134.2799079889612,9.714558869319932e-05
 01/01  08:00:00,172.671561172543,0.0001249202558439304
 01/01  09:00:00,163.9558714206648,0.00011861483886462255
 01/01  10:00:00,141.08634893583607,0.00010206974840251349
 01/01  11:00:00,142.46306087305376,0.00010306573874540948
 01/01  12:00:00,138.3805367251684,0.0001001122126547219
 01/01  13:00:00,131.99695538519694,9.549397321346885e-05
 01/01  14:00:00,126.40239843845234,9.144655810715369e-05
 01/01  15:00:00,124.93456528642479,9.038464558581927e-05
 01/01  16:00:00,133.34294187092797,9.646773504789147e-05
 01/01  17:00:00,166.9036403828592,0.0001207474196464582
 01/01  18:00:00,231.74142982084933,0.0001676546995132053
 01/01  19:00:00,265.6882557005019,0.00019221373022549536
 01/01  20:00:00,260.85919466221253,0.0001887201176335164
 01/01  21:00:00,243.59952607905203,0.00017623350894967307
 01/01  22:00:00,224.9864156206848,0.0001627677447860703
 01/01  23:00:00,186.78583399759205,0.00013513130947883856
 01/01  24:00:00,148.57435164897169,0.00010748698797765255
 01/02  01:00:00,110.76417822531111,8.013299577700686e-05
 01/02  02:00:00,97.92697125809786,7.084584294317494e-05
 01/02  03:00:00,93.84396400018859,6.789196734370097e-05
 01/02  04:00:00,93.61933120976275,6.772945543114061e-05
 01/02  05:00:00,94.31497412329762,6.82327223857259e-05
 01/02  06:00:00,101.97339643244153,7.377325301927442e-05
 01/02  07:00:00,131.60244815550078,9.520856463934541e-05
 01/02  08:00:00,168.90716729209953,0.00012219688296510165
 01/02  09:00:00,157.8445377614978,0.00011419355860824089
 01/02  10:00:00,133.61005540098583,9.666097990122815e-05
 01/02  11:00:00,134.53870868662958,9.733281957908339e-05
 01/02  12:00:00,130.6462656755958,9.45168088040932e-05
 01/02  13:00:00,126.08358398007216,9.121590991333908e-05
 01/02  14:00:00,121.43356506757581,8.785182639962306e-05
 01/02  15:00:00,120.84969951553983,8.742942543420924e-05
 01/02  16:00:00,129.63776607138644,9.378720383775802e-05
 01/02  17:00:00,162.94850111083656,0.00011788605089294507
 01/02  18:00:00,227.16721281215783,0.00016434545533233863
 01/02  19:00:00,261.07210570887133,0.00018887414938165145
 01/02  20:00:00,256.07449072886953,0.00018525859544982914
 01/02  21:00:00,238.70954763433414,0.00017269582530195842
 01/02  22:00:00,219.886267444248,0.00015907801261062654
 01/02  23:00:00,182.5726639731087,0.00013208326686082737
 01/02  24:00:00,145.84944480372093,0.00010551563810423907
 01/03  01:00:00,110.08723109668487,7.964325439790215e-05
 01/03  02:00:00,97.10278805111462,7.024958275777163e-05
 01/03  03:00:00,92.9098155694766,6.721615217084723e-05
 01/03  04:00:00,93.01342599088373,6.72911097392064e-05
 01/03  05:00:00,93.98414620977478,6.79933829871767e-05
 01/03  06:00:00,101.77211983011279,7.362763827827385e-05
 01/03  07:00:00,132.02077685148444,9.551120699327025e-05
 01/03  08:00:00,168.99685761359902,0.0001222617699553643
 01/03  09:00:00,157.90355796494785,0.00011423625712133056
 01/03  10:00:00,133.46967830854913,9.655942326860874e-05
 01/03  11:00:00,133.85818120431244,9.684048797205672e-05
 01/03  12:00:00,129.50974986929228,9.369458976391068e-05
 01/03  13:00:00,124.64990521956646,9.017870658730081e-05
