zip,lat,lon,state,output_annual
90001,33.97000122,-118.2600021,CA,1691
90002,33.93000031,-118.2600021,CA,1682
90003,33.97000122,-118.2600021,CA,1691
90004,34.09000015,-118.3000031,CA,1708
90005,34.04999924,-118.3000031,CA,1691
90006,34.04999924,-118.3000031,CA,1691
90007,34.00999832,-118.3000031,CA,1691
90008,34.00999832,-118.3399963,CA,1699
90009,34.04999924,-118.2600021,CA,1691
90010,34.04999924,-118.3000031,CA,1691
90011,34.00999832,-118.2600021,CA,1691
90012,34.04999924,-118.2200012,CA,1682
90013,34.04999924,-118.2600021,CA,1691
90014,34.04999924,-118.2600021,CA,1691
90015,34.04999924,-118.2600021,CA,1691
90016,34.00999832,-118.3399963,CA,1699
90017,34.04999924,-118.2600021,CA,1691
90018,34.00999832,-118.3000031,CA,1691
90019,34.04999924,-118.3399963,CA,1717
90020,34.04999924,-118.3000031,CA,1691
90021,34.04999924,-118.2600021,CA,1691
90022,34.00999832,-118.1399994,CA,1682
90023,34.00999832,-118.1800003,CA,1691
90024,34.04999924,-118.4599991,CA,1717
90025,34.04999924,-118.4599991,CA,1717
90026,34.09000015,-118.2600021,CA,1699
90027,34.09000015,-118.3000031,CA,1708
90028,34.09000015,-118.3399963,CA,1708
90029,34.09000015,-118.3000031,CA,1708
90030,34.04999924,-118.2600021,CA,1691
90031,34.09000015,-118.2200012,CA,1699
90032,34.09000015,-118.1800003,CA,1691
90033,34.04999924,-118.2200012,CA,1682
90034,34.00999832,-118.4199982,CA,1691
90035,34.04999924,-118.3799973,CA,1699
90036,34.04999924,-118.3399963,CA,1717
90037,34.00999832,-118.3000031,CA,1691
90038,34.09000015,-118.3399963,CA,1708
90039,34.13000107,-118.2600021,CA,1708
90040,34.00999832,-118.1399994,CA,1682
90041,34.13000107,-118.2200012,CA,1682
90042,34.13000107,-118.1800003,CA,1691
90043,33.97000122,-118.3399963,CA,1691
90044,33.97000122,-118.3000031,CA,1691
90045,33.97000122,-118.3799973,CA,1673
90046,34.09000015,-118.3799973,CA,1708
90047,33.97000122,-118.3000031,CA,1691
90048,34.09000015,-118.3799973,CA,1708
90049,34.04999924,-118.4599991,CA,1717
90050,34.04999924,-118.2600021,CA,1691
90051,34.04999924,-118.2600021,CA,1691
90052,34.04999924,-118.2600021,CA,1691
90053,34.04999924,-118.2600021,CA,1691
90054,34.04999924,-118.2600021,CA,1691
90055,34.04999924,-118.2600021,CA,1691
90056,33.97000122,-118.3799973,CA,1673
90057,34.04999924,-118.2600021,CA,1691
90058,34.00999832,-118.2200012,CA,1691
90059,33.93000031,-118.2600021,CA,1682
90060,34.04999924,-118.2600021,CA,1691
90061,33.93000031,-118.2600021,CA,1682
90062,34.00999832,-118.3000031,CA,1691
90063,34.04999924,-118.1800003,CA,1691
90064,34.04999924,-118.4199982,CA,1699
90065,34.09000015,-118.2200012,CA,1699
90066,34.00999832,-118.4199982,CA,1691
90067,34.04999924,-118.4199982,CA,1699
90068,34.13000107,-118.3399963,CA,1699
90069,34.09000015,-118.3799973,CA,1708
90070,34.04999924,-118.2600021,CA,1691
90071,34.04999924,-118.2600021,CA,1691
90072,34.04999924,-118.2600021,CA,1691
90073,33.77000046,-118.3000031,CA,1691
90074,34.04999924,-118.2600021,CA,1691
90075,34.04999924,-118.2600021,CA,1691
90076,34.04999924,-118.2600021,CA,1691
90077,34.13000107,-118.4599991,CA,1734
90078,34.04999924,-118.2600021,CA,1691
90079,33.77000046,-118.3000031,CA,1691
90080,34.04999924,-118.2600021,CA,1691
90081,34.04999924,-118.2600021,CA,1691
90082,34.04999924,-118.2600021,CA,1691
90083,34.04999924,-118.2600021,CA,1691
90084,34.04999924,-118.2600021,CA,1691
90086,34.04999924,-118.2600021,CA,1691
90087,34.04999924,-118.2600021,CA,1691
90088,34.04999924,-118.2600021,CA,1691
90089,33.77000046,-118.3000031,CA,1691
90090,34.09000015,-118.2600021,CA,1699
90091,34.04999924,-118.2600021,CA,1691
90093,34.04999924,-118.2600021,CA,1691
90094,33.97000122,-118.4199982,CA,1699
90095,33.77000046,-118.3000031,CA,1691
90096,34.04999924,-118.2600021,CA,1691
90099,34.04999924,-118.2600021,CA,1691
90189,34.04999924,-118.2600021,CA,1691
90201,33.97000122,-118.1399994,CA,1691
90202,33.97000122,-118.1800003,CA,1682
90209,34.09000015,-118.4199982,CA,1708
90210,34.09000015,-118.4199982,CA,1708
90211,34.04999924,-118.3799973,CA,1699
90212,34.04999924,-118.3799973,CA,1699
90213,34.09000015,-118.4199982,CA,1708
90220,33.88999939,-118.2600021,CA,1708
90221,33.88999939,-118.2200012,CA,1691
90222,33.88999939,-118.2200012,CA,1691
90223,33.88999939,-118.2200012,CA,1691
90224,33.77000046,-118.3000031,CA,1691
90230,34.00999832,-118.3799973,CA,1708
90231,34.00999832,-118.3799973,CA,1708
90232,34.00999832,-118.3799973,CA,1708
90233,34.00999832,-118.3799973,CA,1708
90239,33.93000031,-118.1399994,CA,1673
90240,33.97000122,-118.0999985,CA,1699
90241,33.93000031,-118.1399994,CA,1673
90242,33.93000031,-118.1399994,CA,1673
90245,33.93000031,-118.4199982,CA,1717
90247,33.88999939,-118.3000031,CA,1699
90248,33.88999939,-118.3000031,CA,1699
90249,33.88999939,-118.3000031,CA,1699
90250,33.93000031,-118.3399963,CA,1691
90251,33.93000031,-118.3399963,CA,1691
90254,33.84999847,-118.3799973,CA,1629
90255,33.97000122,-118.2200012,CA,1691
90260,33.88999939,-118.3399963,CA,1699
90261,33.88999939,-118.3399963,CA,1699
90262,33.93000031,-118.2200012,CA,1682
90263,34.00999832,-118.8199997,CA,1612
90264,34.00999832,-118.8199997,CA,1612
90265,34.04999924,-118.7399979,CA,1743
90266,33.88999939,-118.3799973,CA,1691
90267,33.77000046,-118.3000031,CA,1691
90270,33.97000122,-118.1800003,CA,1682
90272,34.04999924,-118.5400009,CA,1708
90274,33.77000046,-118.3799973,CA,1717
90275,33.77000046,-118.3799973,CA,1717
90277,33.84999847,-118.3799973,CA,1629
90278,33.88999939,-118.3799973,CA,1691
90280,33.93000031,-118.2200012,CA,1682
90290,34.09000015,-118.6200027,CA,1770
90291,34.00999832,-118.4599991,CA,1699
90292,33.97000122,-118.4599991,CA,1629
90293,33.97000122,-118.4199982,CA,1699
90294,34.00999832,-118.4599991,CA,1699
90295,33.77000046,-118.3000031,CA,1691
90296,33.77000046,-118.3000031,CA,1691
90301,33.97000122,-118.3399963,CA,1691
90302,33.97000122,-118.3399963,CA,1691
90303,33.93000031,-118.3399963,CA,1691
90304,33.93000031,-118.3399963,CA,1691
90305,33.97000122,-118.3399963,CA,1691
90306,33.97000122,-118.3399963,CA,1691
90307,33.77000046,-118.3000031,CA,1691
90308,33.97000122,-118.3399963,CA,1691
90309,33.77000046,-118.3000031,CA,1691
90310,33.77000046,-118.3000031,CA,1691
90311,33.97000122,-118.3399963,CA,1691
90312,33.97000122,-118.3399963,CA,1691
90401,34.00999832,-118.5,CA,1647
90402,34.04999924,-118.5,CA,1717
90403,34.00999832,-118.5,CA,1647
90404,34.00999832,-118.4599991,CA,1699
90405,34.00999832,-118.4599991,CA,1699
90406,34.00999832,-118.5,CA,1647
90407,34.00999832,-118.5,CA,1647
90408,34.00999832,-118.5,CA,1647
90409,34.00999832,-118.5,CA,1647
90410,34.00999832,-118.5,CA,1647
90411,34.00999832,-118.5,CA,1647
90501,33.81000137,-118.3000031,CA,1717
90502,33.81000137,-118.3000031,CA,1717
90503,33.84999847,-118.3399963,CA,1699
90504,33.88999939,-118.3399963,CA,1699
90505,33.81000137,-118.3399963,CA,1699
90506,33.77000046,-118.3000031,CA,1691
90507,33.77000046,-118.3000031,CA,1691
90508,33.77000046,-118.3000031,CA,1691
90509,33.77000046,-118.3000031,CA,1691
90510,33.77000046,-118.3000031,CA,1691
90601,34.00999832,-118.0199966,CA,1699
90602,33.97000122,-118.0199966,CA,1682
90603,33.93000031,-117.9800034,CA,1682
90604,33.93000031,-118.0199966,CA,1673
90605,33.93000031,-118.0199966,CA,1673
90606,33.97000122,-118.0599976,CA,1699
90607,33.97000122,-118.0199966,CA,1682
90608,33.97000122,-118.0199966,CA,1682
90609,33.97000122,-118.0199966,CA,1682
90610,33.97000122,-118.0199966,CA,1682
90620,33.84999847,-118.0199966,CA,1691
90621,33.88999939,-117.9800034,CA,1691
90622,33.84999847,-118.0199966,CA,1691
90623,33.84999847,-118.0199966,CA,1691
90624,33.84999847,-118.0199966,CA,1691
90630,33.81000137,-118.0199966,CA,1682
90631,33.93000031,-117.9400024,CA,1691
90632,33.93000031,-117.9400024,CA,1691
90633,33.93000031,-117.9400024,CA,1691
90637,33.93000031,-118.0199966,CA,1673
90638,33.88999939,-118.0199966,CA,1682
90639,33.88999939,-118.0199966,CA,1682
90640,34.00999832,-118.0999985,CA,1682
90650,33.88999939,-118.0999985,CA,1673
90651,33.88999939,-118.0999985,CA,1673
90652,33.88999939,-118.0999985,CA,1673
90660,33.97000122,-118.0999985,CA,1699
90661,33.97000122,-118.0999985,CA,1699
90662,33.97000122,-118.0999985,CA,1699
90670,33.93000031,-118.0999985,CA,1664
90671,33.93000031,-118.0999985,CA,1664
90680,33.81000137,-117.9800034,CA,1682
90701,33.84999847,-118.0599976,CA,1708
90702,33.84999847,-118.0999985,CA,1682
90703,33.84999847,-118.0599976,CA,1708
90704,33.33000183,-118.3399963,CA,1726
90706,33.88999939,-118.1399994,CA,1664
90707,33.88999939,-118.0999985,CA,1673
90710,33.81000137,-118.3000031,CA,1717
90711,33.77000046,-118.3000031,CA,1691
90712,33.84999847,-118.1399994,CA,1682
90713,33.84999847,-118.0999985,CA,1682
90714,33.84999847,-118.1399994,CA,1682
90715,33.84999847,-118.0599976,CA,1708
90716,33.81000137,-118.0599976,CA,1691
90717,33.81000137,-118.3000031,CA,1717
90720,33.81000137,-118.0599976,CA,1691
90721,33.81000137,-118.0599976,CA,1691
90723,33.88999939,-118.1800003,CA,1691
90731,33.72999954,-118.3000031,CA,1664
90732,33.72999954,-118.3000031,CA,1664
90733,33.77000046,-118.3000031,CA,1691
90734,33.77000046,-118.3000031,CA,1691
90740,33.77000046,-118.0999985,CA,1664
90742,33.72999954,-118.0599976,CA,1656
90743,33.72999954,-118.0999985,CA,1629
90744,33.77000046,-118.2600021,CA,1691
90745,33.81000137,-118.2600021,CA,1691
90746,33.84999847,-118.2600021,CA,1682
90747,33.84999847,-118.2600021,CA,1682
90748,33.77000046,-118.2600021,CA,1691
90749,33.77000046,-118.3000031,CA,1691
90755,33.81000137,-118.1800003,CA,1699
90801,33.77000046,-118.1800003,CA,1691
90802,33.77000046,-118.1800003,CA,1691
90803,33.77000046,-118.1399994,CA,1673
90804,33.77000046,-118.1399994,CA,1673
90805,33.84999847,-118.1800003,CA,1682
90806,33.81000137,-118.1800003,CA,1699
90807,33.84999847,-118.1800003,CA,1682
90808,33.81000137,-118.0999985,CA,1682
90809,33.77000046,-118.3000031,CA,1691
90810,33.81000137,-118.2200012,CA,1682
90813,33.77000046,-118.1800003,CA,1691
90814,33.77000046,-118.1399994,CA,1673
90815,33.81000137,-118.0999985,CA,1682
90822,33.81000137,-118.1800003,CA,1699
90831,33.77000046,-118.1800003,CA,1691
90832,33.77000046,-118.1800003,CA,1691
90833,33.77000046,-118.1800003,CA,1691
90834,33.77000046,-118.1800003,CA,1691
90835,33.77000046,-118.1800003,CA,1691
90840,33.77000046,-118.0999985,CA,1664
90842,33.77000046,-118.3000031,CA,1691
90844,33.77000046,-118.1800003,CA,1691
90846,33.81000137,-118.1399994,CA,1691
90847,33.77000046,-118.3000031,CA,1691
90848,33.77000046,-118.3000031,CA,1691
90853,33.77000046,-118.3000031,CA,1691
90895,33.84999847,-118.2200012,CA,1699
90899,33.77000046,-118.1800003,CA,1691
91001,34.20999908,-118.1399994,CA,1717
91003,34.16999817,-118.1399994,CA,1664
91006,34.13000107,-118.0199966,CA,1638
91007,34.13000107,-118.0599976,CA,1647
91008,34.13000107,-117.9800034,CA,1647
91009,34.13000107,-117.9800034,CA,1647
91010,34.13000107,-117.9400024,CA,1673
91011,34.20999908,-118.2200012,CA,1708
91012,34.20999908,-118.1800003,CA,1682
91016,34.13000107,-118.0199966,CA,1638
91017,34.13000107,-117.9800034,CA,1647
