zip,median_sqft,state
1001,1425.5,MA
1002,1870,MA
1005,1640,MA
1007,1893,MA
1008,1627,MA
1009,1256.5,MA
1010,1732.5,MA
1011,1640,MA
1012,1662,MA
1013,1288.5,MA
1020,1275.5,MA
1026,1670,MA
1027,1470,MA
1028,1597,MA
1029,1369,MA
1030,1537,MA
1031,1596,MA
1032,1667,MA
1033,1572.5,MA
1034,1761,MA
1035,1867,MA
1036,1686,MA
1037,2253,MA
1038,1650,MA
1039,1987,MA
1040,1565,MA
1050,1693,MA
1053,1850,MA
1054,2100,MA
1056,1438,MA
1057,1743.5,MA
1060,1743.5,MA
1062,1450.5,MA
1066,1498,MA
1068,1900,MA
1069,1508,MA
1070,1648,MA
1071,1704.5,MA
1072,1552,MA
1073,1919,MA
1075,1436,MA
1077,1676.5,MA
1079,1335,MA
1080,1300.5,MA
1081,1372,MA
1082,1686,MA
1083,1669,MA
1084,1948,MA
1085,1508,MA
1088,1881,MA
1089,1455,MA
1092,1651,MA
1093,2323,MA
1095,1882.5,MA
1096,1600,MA
1098,1548,MA
1104,1219,MA
1105,1969,MA
1106,2010,MA
1107,1506,MA
1108,1627.5,MA
1109,1319,MA
1116,2350,MA
1118,1318,MA
1119,1227,MA
1128,1321.5,MA
1129,1324,MA
1139,1662,MA
1151,1280,MA
1201,1399,MA
1220,1384,MA
1222,1632,MA
1223,1522,MA
1224,1367.5,MA
1225,1628,MA
1226,1659.5,MA
1227,1592,MA
1229,1962,MA
1230,1902,MA
1235,1659,MA
1236,1855.5,MA
1237,1678,MA
1238,1617.5,MA
1240,2029,MA
1242,1420,MA
1243,1829,MA
1245,2017.5,MA
1247,1450,MA
1253,1703,MA
1254,2100.5,MA
1255,1756.5,MA
1256,1376,MA
1257,1885,MA
1258,2166,MA
1259,2082.5,MA
1260,1661,MA
1262,1898.5,MA
1263,1446,MA
1264,2285.5,MA
1266,2030,MA
1267,1863.5,MA
1270,1875,MA
1301,1473,MA
1330,1854.5,MA
1331,1361.5,MA
1337,1551,MA
1338,1932,MA
1339,1632,MA
1340,1586,MA
1341,1967,MA
1342,1910,MA
1343,1361,MA
1344,1445.5,MA
1346,1668.5,MA
1347,1139.5,MA
1349,1475,MA
1350,1310,MA
1351,1676.5,MA
1354,1532.5,MA
1355,1552,MA
1360,1666.5,MA
1364,1446,MA
1366,1766.5,MA
1367,1535,MA
1368,1763,MA
1370,1838,MA
1373,1691,MA
1375,1818,MA
1376,1311,MA
1378,1548,MA
1379,1366,MA
1380,1139,MA
1420,1464,MA
1430,1649,MA
1431,1826.5,MA
1432,1826,MA
1434,1956,MA
1436,1526,MA
1438,1448,MA
1440,1460,MA
1450,2489,MA
1451,2734,MA
1452,1786,MA
1453,1597,MA
1460,2126.5,MA
1462,1750,MA
1463,2071.5,MA
1464,2145,MA
1467,2604.5,MA
1468,1690.5,MA
1469,1844,MA
1471,1768,MA
1473,1891,MA
1474,1925,MA
1475,1576,MA
1501,1436.5,MA
1503,2330,MA
1504,1640.5,MA
1505,2340.5,MA
1506,1782,MA
1507,1981,MA
1510,1572,MA
1515,1512,MA
1516,2013,MA
1518,2059,MA
1519,2316.5,MA
1520,1748,MA
1521,1282,MA
1522,1823,MA
1523,1952,MA
1524,1608,MA
1527,1661.5,MA
1529,1672,MA
1531,1826,MA
1532,1984,MA
1534,2130,MA
1535,1525.5,MA
1536,1801,MA
1537,1451,MA
1540,1487,MA
1541,2291,MA
1542,1661,MA
1543,1968.5,MA
1545,1974,MA
1546,1999,MA
1550,1529.5,MA
1560,2318,MA
1562,1637,MA
1564,1975,MA
1566,1901.5,MA
1568,2397,MA
1569,1933,MA
1570,1542,MA
1571,1710,MA
1580,2482,0
1581,2195.5,MA
1583,1611.5,MA
1585,1614,MA
1588,1788,MA
1590,2064,MA
1602,1562,MA
1603,1364.5,MA
1604,1442.5,MA
1605,1468,MA
1606,1411,MA
1607,1395,MA
1609,2179,MA
1610,1429,MA
1611,1479,MA
1612,1927,MA
1701,1768.5,MA
1702,1751,MA
1719,2834,MA
1720,2394.5,MA
1721,1895,MA
1730,2263,MA
1740,2689.5,MA
1741,3231,MA
1742,3004.5,MA
1745,1700,MA
1746,2071,MA
1747,2002,MA
1748,2823.5,MA
1749,1780,MA
1752,1788,MA
1754,1648,MA
1756,2402,MA
1757,1857,MA
1760,1944,MA
1770,3052,MA
1772,2757.5,MA
1773,3446.5,MA
1775,2376,MA
1776,2880,MA
1778,2406.5,MA
1801,1648,MA
1803,1911,MA
1810,2512,MA
1821,1858,MA
1824,1872,MA
1826,1668,MA
1827,2720,MA
1830,1762,MA
1832,1775.5,MA
1833,1981,MA
1834,2006,MA
1835,1789,MA
1840,1740,MA
1841,1503,MA
1843,1435.5,MA
1844,1751,MA
1845,2517,MA
1850,1454.5,MA
1851,1627,MA
1852,1654,MA
1854,1641.5,MA
1860,2079,MA
1862,1917,MA
1863,1583,MA
1864,2060,MA
1867,1907,MA
1876,1759,MA
1879,2080,MA
1880,1797,MA
1886,2327.5,MA
1887,1836,MA
1889,1891,MA
1890,2760.5,MA
1899,3000,MA
1901,2022,MA
1902,1396,MA
1904,1468,MA
1905,1338.5,MA
1906,1603,MA
1907,1978,MA
1908,1897,MA
1913,1743,MA
1915,1729,MA
1921,2913,MA
1922,2231,MA
1923,1855,MA
1929,2073,MA
1930,1560,MA
1938,2119,MA
1940,2390.5,MA
1944,2631,MA
1945,2057,MA
1949,2636,MA
1950,1989,MA
1951,1852,MA
1952,1794,MA
1960,1655,MA
1966,1730,MA
1969,2311,MA
1970,1696,MA
1982,2076.5,MA
1983,2439,MA
1984,2488,MA
1985,2582,MA
2019,1696,MA
2020,958,MA
2021,2073,MA
2025,2935,MA
2026,1577,MA
2027,2290,MA
2030,3920.5,MA
2032,1967,MA
2035,1899,MA
2038,2066,MA
2043,2233,MA
2045,1597,MA
2047,1327,MA
2048,1966,MA
2050,1850,MA
2051,2395,MA
2052,2479,MA
2053,2020.5,MA
2054,1910,MA
2056,2370.5,MA
2060,2695,MA
2061,2475,MA
2062,1579,MA
2066,2055,MA
2067,2094,MA
2071,2336,MA
2072,1743,MA
2081,2002,MA
2090,2186,MA
2093,2327,MA
2108,3799,MA
2113,1536,MA
2114,2554,MA
2115,4328,MA
2116,3064.5,MA
2118,3109,MA
2119,2057,MA
2120,1588,MA
2121,2421.5,MA
2122,1672,MA
2124,1993,MA
2125,2048.5,MA
2126,1525,MA
2127,1603.5,MA
2128,1557,MA
2129,1827,MA
2130,1943,MA
2131,1581,MA
2132,1588,MA
2133,1757.5,MA
2134,1798.5,MA
2135,1622,MA
2136,1495,MA
2138,2605,MA
2139,1862,MA
2140,1870,MA
2141,1451,MA
2143,1801.5,MA
2144,1892,MA
2145,1537,MA
2148,1542.5,MA
2149,1522,MA
2150,1562,MA
2151,1735,MA
2152,1654.5,MA
2155,1665,MA
2169,1444,MA
2170,1509,MA
2171,1412,MA
2176,1832.5,MA
2180,1852,MA
2184,1698,MA
2186,1997.5,MA
2188,1452,MA
2189,1455,MA
2190,1632.5,MA
2191,1346,MA
2215,4202.5,MA
2301,1506,MA
2302,1390,MA
2322,1527.5,MA
2324,1866,MA
2330,1589,MA
2332,2436,MA
2333,1662,MA
2338,1637,MA
2339,2109,MA
2341,1683,MA
2343,1456.5,MA
2346,1724.5,MA
2347,1834.5,MA
2350,1052,MA
2351,1676,MA
2356,2057,MA
2359,1781,MA
2360,1769,MA
2362,1791.5,MA
2364,1898,MA
2367,2056.5,MA
2368,1606.5,MA
2370,1485.5,MA
2375,1943.5,MA
2379,1695,MA
2382,1533,MA
2420,2961,MA
2421,2842,MA
2445,3495,MA
2446,3502,MA
2451,1701,MA
2452,1918,MA
2453,1715,MA
2458,2895,MA
2459,2961,MA
2460,2429,MA
2461,2185,MA
2462,2298,MA
2464,1777,MA
2465,2408,MA
2466,2212,MA
2467,2927,MA
2468,3053,MA
2472,1692.5,MA
2474,1823,MA
2476,1850,MA
2478,2235.5,MA
2481,3161.5,MA
2482,2745.5,MA
2492,2757,MA
2493,3916,MA
2494,2345,MA
2532,1457,MA
2534,1867.5,MA
2535,1778,MA
2536,1489,MA
2537,2009,MA
2538,1202,MA
2539,1907.5,MA
2540,1897,MA
2543,2206,MA
2556,1928,MA
2557,1359,MA
2559,1475,MA
2562,1941.5,MA
2563,1700,MA
2568,1647,MA
2571,1262.5,MA
2575,2578,MA
2576,1436.5,MA
2601,1258.5,MA
2630,2054.5,MA
2631,1694.5,MA
2632,1483.5,MA
2633,1901,MA
2635,1718,MA
2637,2139.5,MA
2638,1674.5,MA
2639,1018,MA
2641,2678,MA
2642,1524,MA
2644,1593.5,MA
2645,1531,MA
2646,1727,MA
2647,2784,MA
2648,1539,MA
2649,1746,MA
2650,2520,MA
2652,1906,MA
2653,2036.5,MA
2655,1966,MA
2657,1772,MA
2659,1553,MA
2660,1357,MA
2662,2887,MA
2664,1259.5,MA
2666,1967,MA
2667,1687,MA
2668,1971,MA
2670,1251,MA
2671,1500,MA
2672,1256,MA
2673,1151,MA
2675,1608.5,MA
2702,1878,MA
2703,1647.5,MA
2713,1926.5,MA
2715,1845.5,MA
2717,1740,MA
2718,1638.5,MA
2719,1347,MA
2720,1697,MA
2721,1583,MA
2723,1491,MA
2724,1498.5,MA
2725,1348,MA
2726,1465,MA
2738,1997,MA
2739,1851,MA
2740,1441,MA
2743,1604.5,MA
2744,1365,MA
2745,1362,MA
2746,1296.5,MA
2747,1680,MA
2748,1681,MA
2760,1832,MA
2762,1778,MA
2763,1902,MA
2764,1699,MA
2766,1751,MA
2767,1891.5,MA
2769,2142.5,MA
2770,2160,MA
2771,1748.5,MA
2777,1471,MA
2779,1808,MA
2780,1606,MA
2790,1797.5,MA
2791,2166.5,MA
2802,1207,RI
2804,1602,RI
2806,2052.5,RI
2807,2009,RI
2808,1562,RI
2809,1748.5,RI
2812,2007,RI
2813,1676,RI
2814,1785,RI
2815,1932,RI
2816,1668.5,RI
2817,2253,RI
2818,2568,RI
2822,1968,RI
2824,1526,RI
2825,1941,RI
2826,1446.5,RI
2827,1948,RI
2828,1867,RI
2830,1848,RI
2831,2062,RI
2832,1849.5,RI
2833,1700,RI
2835,1942,RI
2836,1824,RI
2837,1962,RI
2838,1846,RI
2839,1809,RI
2840,1626,RI
2842,1805,RI
2852,1886,RI
2857,1872.5,RI
2858,1673,RI
2859,1602.5,RI
2860,1488,RI
2861,1494.5,RI
2863,1695,RI
2864,1854,RI
2865,2078,RI
2871,1910,RI
2872,1329,RI
2873,1740,RI
2874,2489,RI
2875,1764,RI
2876,2004.5,RI
2877,1604,RI
2878,1586,RI
2879,1723,RI
2880,1782.5,RI
2881,2032.5,RI
2882,1631,RI
2885,1666,RI
2886,1540,RI
2888,1440,RI
2889,1407.5,RI
2891,1788,RI
2892,1882,RI
2893,1585.5,RI
2894,1688.5,RI
2895,1595,RI
2896,1950,RI
2898,1838,RI
2903,1869,RI
2904,1704,RI
2905,1639.5,RI
2906,2451,RI
2907,1697.5,RI
2908,1576,RI
2909,1520.5,RI
2910,1543,RI
2911,1729,RI
2914,1501,RI
2915,1416,RI
2916,1651,RI
2917,1843,RI
2919,1753.5,RI
2920,1686,RI
2921,2364,RI
3031,2527,NH
3032,2330,NH
3033,2435,NH
3034,2053,NH
3036,2395,NH
3037,2054.5,NH
3038,1870.5,NH
3042,1949,NH
3043,2382,NH
3044,1898.5,NH
3045,1918.5,NH
3046,2254,NH
3047,1883.5,NH
3048,1909,NH
3049,2942,NH
3051,2018,NH
3052,2156,NH
3053,2203,NH
3054,2063,NH
3055,1943,NH
3057,2429,NH
3060,1599.5,NH
3062,1910,NH
3063,1991,NH
3064,1811,NH
3070,2363.5,NH
3071,1877.5,NH
3076,2404.5,NH
3077,1741.5,NH
3079,1951,NH
3082,1961,NH
3084,2235.5,NH
3086,1990,NH
3087,2774,NH
3101,1411.5,NH
3102,1515,NH
3103,1455.5,NH
3104,1834,NH
3106,2050.5,NH
3108,1979.5,NH
3109,1641.5,NH
3110,2835.5,NH
3215,3200,NH
3216,1838.5,NH
3217,1780,NH
3218,1667,NH
3220,1666,NH
3221,1674.5,NH
3222,1615,NH
3223,1735,NH
3224,1831,NH
3225,1469,NH
3226,2137.5,NH
3229,2128.5,NH
3230,1558,NH
3231,2102,NH
3233,2336,NH
3234,1857.5,NH
3235,1548,NH
3237,1601.5,NH
3240,1380,NH
3241,1870.5,NH
3242,1865,NH
3243,1646,NH
3244,1658.5,NH
3245,2062,NH
3246,1650,NH
3249,2010,NH
3251,2044.5,NH
3253,1998.5,NH
3255,1867.5,NH
3256,1867,NH
3257,2452,NH
3258,2046,NH
3260,1754.5,NH
3261,1740.5,NH
3262,1694.5,NH
3263,1732,NH
3264,1676,NH
3266,1530,NH
3268,1829,NH
3269,1891,NH
3273,2085.5,NH
3275,1723,NH
3276,1740,NH
3278,1854.5,NH
3279,1451.5,NH
3280,1452,NH
3281,1947.5,NH
3282,1640.5,NH
3284,1780,NH
3285,1944,NH
3287,2246,NH
3290,2055,NH
3291,1471,NH
3301,1722,NH
3303,1687,NH
3304,2345,NH
3307,1892,NH
3431,1602.5,NH
3440,1593,NH
3441,1564,NH
3442,1637,NH
3443,2133,NH
3444,2383,NH
3445,1699,NH
3446,1718.5,NH
3447,1647,NH
3448,1522.5,NH
3449,2131,NH
3450,1802.5,NH
3451,1452,NH
3452,1656,NH
3455,1737,NH
3456,1665,NH
3457,1851.5,NH
3458,2011.5,NH
3461,1789,NH
3462,1996.5,NH
3464,1472.5,NH
3465,1562,NH
3466,1950.5,NH
3467,1936,NH
3470,1585,NH
3561,1692,NH
3570,1420,NH
3574,1658,NH
3576,1406.5,NH
3579,1175,NH
3580,2201.5,NH
3581,1477.5,NH
3582,1310.5,NH
3583,1809.5,NH
3584,1716,NH
3585,1658.5,NH
3586,2502,NH
3588,1490,NH
3590,1139,NH
3592,1218,NH
3593,2028.5,NH
3597,1584,NH
3598,1574.5,NH
3601,2013,NH
3602,1728,NH
3603,1533,NH
3605,1510,NH
3607,1649,NH
3608,2089,NH
3609,1652,NH
3740,1506.5,NH
3741,1654,NH
3743,1526,NH
3745,1886,NH
3748,1720,NH
3750,3045.5,NH
3751,1537,NH
3752,1663.5,NH
3753,2122.5,NH
3754,1936,NH
3755,2548,NH
3765,2401.5,NH
3766,1693.5,NH
3768,2608,NH
3770,2206.5,NH
3771,1850,NH
3773,1632.5,NH
3774,1594.5,NH
3777,1913,NH
3779,1601.5,NH
3780,1788.5,NH
3781,2249,NH
3782,1885,NH
3784,1733,NH
3785,1616,NH
3801,1706.5,NH
3805,1676,0
3809,1955.5,NH
3810,1661.5,NH
3811,2305,NH
3815,1772,NH
3819,2036,NH
3820,1802,NH
3823,2446.5,NH
3824,2302,NH
3825,1914,NH
3826,2202.5,NH
3827,2409.5,NH
3833,2159,NH
3835,1566,NH
3837,1658,NH
3839,1683,NH
3840,2284,NH
3841,2349,NH
3842,1808,NH
3844,2892,NH
3846,2110.5,NH
3848,1953,NH
3851,1658.5,NH
3852,1879,NH
3854,2548,NH
3855,1764,NH
3856,2460,NH
3857,1952,NH
3858,2028,NH
3861,2220,NH
3862,2509,NH
3865,1840,NH
3867,1604,NH
3868,1596.5,NH
3869,1789,NH
3870,2301,NH
3871,3320,NH
3873,1954.5,NH
3874,1973.5,NH
3878,1567.5,NH
3884,1865,NH
3885,2602,NH
3887,1558,NH
3901,1759,ME
3902,2019,ME
3903,1845,ME
3904,1650,ME
3905,1852,ME
3906,1670,ME
3907,1836,ME
3908,1884.5,ME
3909,1964,ME
3911,2002,ME
4001,1474,ME
4002,1737,ME
4003,1831,ME
4005,1655.5,ME
4006,2309.5,ME
4008,1717.5,ME
4009,1444,ME
4011,1808.5,ME
4013,2050.5,ME
4015,1511,ME
4017,1689,ME
4020,1778.5,ME
4021,2192.5,ME
4024,1463,ME
4027,1659,ME
4029,1462.5,ME
4030,1516.5,ME
4032,2081,ME
4038,1825,ME
4039,1699,ME
4040,1655,ME
4042,1630,ME
4043,2002,ME
4046,2102.5,ME
4047,1569,ME
4048,1490,ME
4049,1572,ME
4050,1359,ME
4054,2222,ME
4055,1503.5,ME
4057,1732,ME
4061,1410.5,ME
4062,1744,ME
4064,1577.5,ME
4066,1949,ME
4069,1966,ME
4071,1735,ME
4072,1715,ME
4073,1395,ME
4074,2127.5,ME
4076,1371,ME
4079,1758.5,ME
4083,1497,ME
4084,1723.5,ME
4085,1647.5,ME
4086,1750,ME
4087,1521,ME
4090,1760,ME
4091,1609,ME
4092,1476,ME
4093,1730,ME
4095,1504.5,ME
4096,2309,ME
4097,2319,ME
4101,1549.5,ME
4102,1529,ME
4103,1537,ME
4105,2730,ME
4106,1434,ME
4107,2300,ME
4108,1387,ME
4109,2100,ME
4110,3016,ME
4122,2999,ME
4210,1523,ME
4222,1934.5,ME
4236,1691,ME
4240,1507.5,ME
4250,1561.5,ME
4252,1435,ME
4253,1556,ME
4254,1376,ME
4256,1458,ME
4258,2025,ME
4259,1719,ME
4260,1727,ME
4263,1629,ME
4265,1599,ME
4274,1684,ME
4280,1542,ME
4282,1960,ME
4284,1651,ME
4287,1827,ME
4330,1531,ME
4332,2200,ME
4343,1531.5,ME
4344,1513.5,ME
4345,1616,ME
4346,1389,ME
4347,1819.5,ME
4349,1413,ME
4350,1641,ME
4351,1896,ME
4352,1540,ME
4355,1814,ME
4357,1594,ME
4358,1678.5,ME
4359,1628,ME
4360,1577,ME
4363,1652,ME
4364,1591.5,ME
4401,1659,ME
4410,1620,ME
4411,1539,ME
4412,1623.5,ME
4417,1113.5,ME
4418,1381,ME
4419,1707,ME
4422,1584,ME
4427,1785.5,ME
4428,1616,ME
4430,1349,ME
4434,1492,ME
4435,1669,ME
4444,1929,ME
4448,1245,ME
4449,1398,ME
4450,1521,ME
4453,1280,ME
4455,1270,ME
4456,1641,ME
4457,1381.5,ME
4460,1274,ME
4461,1564,ME
4467,1368,0
4468,1460,ME
4473,1786.5,ME
4474,1744,ME
4475,1557.5,ME
4487,1004,ME
4488,1585,ME
4489,1613.5,ME
4493,1332,ME
4495,1693,ME
4530,1658.5,ME
4548,1791.5,ME
4562,1714.5,ME
4579,1756,ME
4765,1449,ME
4777,2000,ME
4901,1561,ME
4910,1521.5,ME
4917,1833,ME
4918,2520,ME
4927,1510,ME
4928,1414,ME
4930,1448.5,ME
4932,1550,ME
4939,1317,ME
4953,1513,ME
4962,1419,ME
4963,1726,ME
4969,1396,ME
4989,1657,ME
5001,1779,VT
5030,2012.5,VT
5032,1836,VT
5033,1742,VT
5034,2226,VT
5035,1912,VT
5036,1787.5,VT
5037,1994,VT
5038,1697.5,VT
5039,1476.5,VT
5040,1871,VT
5041,1568,VT
5043,2052,VT
5045,1860,VT
5048,1911,VT
5051,1766,VT
5052,1901,VT
5053,2090.5,VT
5054,1568,VT
5055,2567.5,VT
5056,2012,VT
5058,2093.5,VT
5059,2305,VT
5060,1792.5,VT
5061,1908.5,VT
5062,1853,VT
5065,2074,VT
5067,2612,VT
5068,1908.5,VT
5069,2018,VT
5070,2068,VT
5071,2255,VT
5072,2014,VT
5075,1853,VT
5076,1653,VT
5077,1882,VT
5079,1624,VT
5081,1515,VT
5083,1752,VT
5084,1952.5,VT
5085,2033.5,VT
5086,1437,VT
5088,1393,VT
5089,1553,VT
5091,2237,VT
5142,1668.5,VT
5143,1680,VT
5149,2028,VT
5150,1521,VT
5151,1805,VT
5152,2035,VT
5153,2022,VT
5156,1491,VT
5161,2275,VT
5201,1578,VT
5250,1830,VT
5251,2550,VT
5252,1767,VT
5253,2027.5,VT
5254,2858,VT
5255,2228.5,VT
5257,1759.5,VT
5260,1544,VT
5261,1701,VT
5262,1938,VT
5340,2478,VT
5350,1531.5,VT
5352,1753.5,VT
5401,1731,VT
5403,2282.5,VT
5404,1506,VT
5406,1299.5,VT
5407,1672,VT
5408,1482,VT
5440,1456,VT
5441,1689,VT
5444,1888,VT
5445,2704,VT
5446,2013,VT
5447,1881,VT
5448,1747,VT
5450,1762,VT
5452,1989.5,VT
5453,1626,VT
5454,1969,VT
5455,1885,VT
5457,1594,VT
5458,1744,VT
5459,1721.5,VT
5460,1566,VT
5461,2036,VT
5462,1859,VT
5463,1661,VT
5465,2176.5,VT
5468,1852,VT
5471,1606.5,VT
5474,1582,VT
5476,1697,VT
5477,1954,VT
5478,1704,VT
5482,2695,VT
5483,1787,VT
5486,1872.5,VT
5488,1618.5,VT
5489,2071.5,VT
5494,1964,VT
5495,2423.5,VT
5602,1819.5,VT
5641,1681,VT
5647,1701.5,VT
5648,1719,VT
5649,1659,VT
5650,1679,VT
5651,2081,VT
5654,1478,VT
5658,1794,VT
5660,1881,VT
5663,1814.5,VT
5664,1565.5,VT
5667,1743,VT
5669,1591.5,VT
5673,2103,VT
5674,2088,VT
5675,1658,VT
5676,1850,VT
5677,2306,VT
5679,1599,VT
5681,1368,VT
5682,1584.5,VT
5701,1713.5,VT
5730,1897,VT
5732,1656.5,VT
5733,1570,VT
5735,1559,VT
5736,1972,VT
5737,2128,VT
5738,1935,VT
5739,1882.5,VT
5742,2165.5,VT
5743,1622,VT
5744,1648,VT
5751,2385,VT
5757,1762,VT
5758,1753,VT
5759,2048,VT
5761,1976.5,VT
5762,2059,VT
5763,1807,VT
5764,1687,VT
5765,1698,VT
5767,1757.5,VT
5768,2542,VT
5772,1632,VT
5773,1967,VT
5774,1462,VT
5775,1869.5,VT
5776,1950,VT
5777,1684,VT
6001,2948,CT
6002,1695,CT
6010,1461,CT
6011,1317,CT
6013,2352,CT
6016,1906,CT
6018,1499,CT
6019,2278,CT
6021,2005,CT
6022,2346.5,CT
6023,1779,CT
6024,1749.5,CT
6026,1926,CT
6027,1840,CT
6029,1943,CT
6030,3757,CT
6031,1876,CT
6032,2427,CT
6033,2207.5,CT
6034,2106,CT
6035,1892.5,CT
6037,1755.5,CT
6039,2135.5,CT
6040,1513,CT
6042,1439,CT
6043,1885,CT
6045,1315,CT
6051,1308.5,CT
6052,1825,CT
6053,1359.5,CT
6057,2004,CT
6058,1991.5,CT
6059,2443.5,CT
6060,2618,CT
6061,1246.5,CT
6062,1422,CT
6063,1985,CT
6064,2235,CT
6065,1987,CT
6066,1580.5,CT
6067,1822,CT
6068,2181,CT
6069,2081,CT
6070,2220.5,CT
6071,2108.5,CT
6073,2688,CT
6074,1874.5,CT
6076,1537,CT
6078,2189,CT
6081,1482.5,CT
6082,1397.5,CT
6083,1753.5,CT
6084,1912,CT
6085,1968.5,CT
6088,1366,CT
6089,2155,CT
6090,2746,CT
6091,1520,CT
6092,2623,CT
6093,1992.5,CT
6095,1657.5,CT
6096,1392,CT
6098,1499,CT
6105,3453,CT
6106,1341,CT
6107,1986,CT
6108,1396,CT
6109,1595,CT
6110,1394,CT
6111,1534.5,CT
6112,1458.5,CT
6114,1523,CT
6117,2146,CT
6118,1343.5,CT
6119,1815,CT
6120,1418,CT
6128,1889.5,CT
6152,2797,CT
6226,1402,CT
6230,1990.5,CT
6231,1901,CT
6232,1869,CT
6234,1653.5,CT
6235,1570.5,CT
6237,1819,CT
6238,1601,CT
6239,1481,CT
6241,1507,CT
6242,1600.5,CT
6247,1768,CT
6248,2000,CT
6249,1644,CT
6250,1713.5,CT
6254,1846,CT
6255,1522,CT
6256,1229,CT
6259,2007.5,CT
6260,1438.5,CT
6262,1194,CT
6263,1173,CT
6264,1846,CT
6266,1693.5,CT
6268,1965,CT
6277,1616,CT
6278,1511.5,CT
6279,1691,CT
6280,1716.5,CT
6281,1945,CT
6282,1586,CT
6320,1529,CT
6330,1603,CT
6331,1655.5,CT
6332,1352,CT
6333,2309.5,CT
6334,1585,CT
6335,1806,CT
6339,1716,CT
6340,1474,CT
6350,1403,CT
6351,1498,CT
6353,1182,CT
6354,1495,CT
6355,1745,CT
6357,1567,CT
6359,1859,CT
6360,1537.5,CT
6365,1810.5,CT
