Unique ID,zip
1,4041
2,11243
3,13734
4,17886
5,18635
6,18956
7,22827
8,24829
9,29479
10,34295
11,34453
12,39477
13,46231
14,47954
15,60927
16,61745
17,80294
18,91410
19,1890
20,7002
21,10129
22,20139
23,28093
24,38482
25,47165
26,85050
27,95019
28,98505
29,11230
30,27310
31,31501
32,35470
33,49102
34,59254
35,73010
36,76834
37,80941
38,16641
39,19140
40,25411
41,28272
42,30810
43,35042
44,56734
45,62449
46,71044
47,76352
48,79019
49,89040
50,90083
51,90224
52,92366
53,97526
54,99223
55,2649
56,21273
57,27549
58,31026
59,33477
60,37384
61,54893
62,56122
63,83867
64,3287
65,17088
66,20505
67,23937
68,26627
69,28640
70,45481
71,46120
72,64844
73,66008
74,91411
75,94528
76,7930
77,22472
78,56121
79,59915
80,77255
81,89053
82,90222
83,92316
84,92329
85,12194
86,14035
87,22722
88,30270
89,32407
90,36310
91,37059
92,38873
93,39328
94,43724
95,60079
96,61482
97,68009
98,70043
99,76263
100,90262
101,91206
102,94061
103,2852
104,16502
105,33705
106,35226
107,41386
108,48613
109,70123
110,79331
111,92651
112,17966
113,25650
114,27690
115,40052
116,46142
117,46930
118,47345
119,49130
120,52359
121,52560
122,53074
123,68826
124,76714
125,94162
126,2537
127,5035
128,10474
129,12491
130,15144
131,24354
132,33188
133,35560
134,37406
135,37738
136,41018
137,49111
138,49355
139,61726
140,74701
141,10087
142,15926
143,19903
144,36619
145,36633
146,43436
147,58015
148,60512
149,61488
150,62414
151,62962
152,65325
153,77710
154,83638
155,98392
156,3833
157,4461
158,6451
159,7757
160,10019
161,11516
162,21152
163,28337
164,33613
165,38745
166,41265
167,48009
168,54129
169,56073
170,76934
171,89156
172,16735
173,30054
174,33966
175,35038
176,35120
177,38303
178,53208
179,61278
180,61739
181,71210
182,72325
183,76518
184,78734
185,95313
186,95558
187,96058
188,1903
189,2458
190,15057
191,15466
192,15744
193,17881
194,20254
195,21793
196,22042
197,30647
198,33747
199,38947
200,44514
201,50046
202,56235
203,63048
204,65770
205,84605
206,85336
207,85339
208,91106
209,94232
210,1827
211,3837
212,12465
213,13753
214,15476
215,28423
216,31131
217,34607
218,35260
219,39166
220,44302
221,47722
222,49310
223,49555
224,50845
225,55811
226,56085
227,70725
228,71942
229,73638
230,92264
231,99016
232,14469
233,19108
234,32229
235,36054
236,43287
237,59028
238,59315
239,62084
240,62910
241,70343
242,77227
243,31816
244,32746
245,33482
246,45339
247,48103
248,48177
249,57577
250,72069
251,80750
252,90806
253,2176
254,5101
255,8340
256,13865
257,17765
258,30061
259,39194
260,45377
261,6155
262,10138
263,17876
264,20172
265,29803
266,33109
267,44035
268,45734
269,54526
270,85344
271,89505
272,7031
273,12927
274,16423
275,18928
276,22241
277,22469
278,34602
279,35452
280,49649
281,50133
282,50427
283,61839
284,62353
285,68786
286,70518
287,98624
288,1844
289,18623
290,19420
291,20509
292,22938
293,26507
294,26836
295,38552
296,38567
297,49074
298,80022
299,92103
300,95682
301,5875
302,14709
303,19383
304,33126
305,47443
306,48464
307,49406
308,80206
309,82605
310,94230
311,99922
312,14804
313,20398
314,24963
315,29307
316,40619
317,40844
318,58573
319,65279
320,70763
321,21641
322,26678
323,32204
324,37729
325,45350
326,47842
327,48044
328,54552
329,75846
330,77986
331,92382
332,2266
333,7933
334,22315
335,32408
336,38924
337,43532
338,62401
339,67156
340,68845
341,74652
342,76204
343,84743
344,96807
345,11226
346,18913
347,20301
348,28658
349,33897
350,39552
351,49449
352,54301
353,54480
354,55144
355,56145
356,62810
357,89833
358,15460
359,18252
360,18455
361,24069
362,27571
363,32254
364,33132
365,38130
366,39058
367,43551
368,50641
369,58643
370,72011
371,87037
372,3581
373,7505
374,46970
375,49047
376,73503
377,85253
378,88008
379,93276
380,1937
381,11716
382,12232
383,19196
384,27807
385,38671
386,44802
387,49090
388,62668
389,64028
390,68328
391,73164
392,85215
393,97041
394,98674
395,14126
396,28310
397,39232
