zip,lat,lon,state
96744,21.4228,-157.8115,HI
96789,21.4531,-158.0174,HI
96706,21.3274,-158.0103,HI
96797,21.3982,-158.0124,HI
96816,21.2887,-157.8006,HI
96701,21.3908,-157.9332,HI
96707,21.3453,-158.087,HI
96782,21.4084,-157.9652,HI
96817,21.3295,-157.8615,HI
96792,21.4352,-158.1781,HI
96825,21.2987,-157.6985,HI
96818,21.3532,-157.9269,HI
96819,21.3488,-157.8759,HI
96822,21.3117,-157.8298,HI
96734,21.4063,-157.7448,HI
96813,21.3179,-157.8521,HI
96793,20.8966,-156.5036,HI
96786,21.5006,-158.0435,HI
96821,21.2928,-157.7552,HI
96826,21.2941,-157.8284,HI
96732,20.8814,-156.4783,HI
96814,21.2998,-157.8439,HI
96815,21.2811,-157.8266,HI
96795,21.3418,-157.7131,HI
96753,20.7441,-156.4475,HI
96768,20.8469,-156.3327,HI
96761,20.9174,-156.6772,HI
