zip,lat,lon,state
4041,43.8622,-70.8531,ME
11243,40.6451,-73.945,NY
13734,42.0695,-76.3983,NY
17886,41.0179,-76.8708,PA
18635,41.0469,-76.1981,PA
18956,40.2628,-75.0157,PA
22827,38.4025,-78.6321,VA
24829,37.3752,-81.6539,WV
29479,33.3362,-79.9236,SC
34295,27.086,-82.4389,FL
34453,28.8723,-82.3454,FL
39477,31.7909,-89.0414,MS
46231,39.7038,-86.3029,IN
47954,39.9132,-86.8031,IN
60927,40.9394,-87.9202,IL
61745,40.3307,-88.9776,IL
80294,39.7491,-104.989,CO
91410,34.1867,-118.449,CA
1890,42.453,-71.1441,MA
7002,40.6664,-74.1192,NJ
10129,40.7808,-73.9772,NY
20139,38.6543,-77.7025,VA
28093,35.4848,-81.2395,NC
38482,35.7588,-87.1515,TN
47165,38.4931,-86.017,IN
85050,33.6863,-111.9963,AZ
95019,36.9356,-121.7767,CA
98505,47.0654,-122.9762,WA
11230,40.6225,-73.965,NY
27310,36.1673,-79.9804,NC
31501,31.2243,-82.3596,GA
35470,32.5843,-88.1872,AL
49102,41.9484,-86.285,MI
59254,48.7788,-104.56,MT
73010,35.1192,-97.6401,OK
76834,31.8287,-99.427,TX
80941,38.8339,-104.8214,CO
16641,40.4823,-78.5517,PA
19140,40.0118,-75.1456,PA
25411,39.5526,-78.1877,WV
28272,35.2271,-80.8431,NC
30810,33.2471,-82.5766,GA
35042,32.9503,-87.1192,AL
56734,48.7787,-96.6431,MN
62449,39.001,-87.895,IL
71044,32.9934,-93.9022,LA
76352,33.674,-98.23,TX
79019,35.0967,-101.3813,TX
89040,36.5703,-114.4732,NV
90083,34.0522,-118.2437,CA
90224,33.7866,-118.2987,CA
92366,35.4703,-115.545,CA
97526,42.4638,-123.3457,OR
99223,47.6156,-117.3622,WA
2649,41.6181,-70.4854,MA
21273,39.2847,-76.6205,MD
27549,36.0578,-78.2586,NC
31026,33.3304,-83.377,GA
33477,26.9217,-80.077,FL
37384,35.2211,-85.2091,TN
54893,45.874,-92.3227,WI
56122,43.9163,-95.9296,MN
83867,47.4981,-115.9657,ID
3287,43.4485,-71.9158,NH
17088,40.2984,-76.2944,PA
20505,38.8933,-77.0146,DC
23937,36.9688,-78.5615,VA
26627,38.7621,-80.6406,WV
28640,36.409,-81.4396,NC
45481,39.7505,-84.2686,OH
46120,39.5148,-86.7939,IN
64844,36.9066,-94.2643,MO
66008,39.7174,-95.1765,KS
91411,34.1781,-118.4574,CA
94528,37.8387,-121.9667,CA
7930,40.7892,-74.6776,NJ
22472,37.9505,-76.6367,VA
56121,43.5382,-94.6149,MN
59915,47.8305,-114.3496,MT
77255,29.834,-95.4342,TX
